Fname,Lname,Goals Scored,Assists,Total Points,Minutes,Goals Conceded,Clean Sheets
N'Golo,Kanté,1,2,101,2994,32,16
Michy,Batshuayi,2,1,25,351,7,1
Diego,Da Silva Costa,0,0,0,0,0,0
Ross,Barkley,0,0,3,129,4,0
Kasey,Palmer,0,0,4,168,2,1
Daniel,Drinkwater,1,0,24,520,7,1
Tiemoué,Bakayoko,2,2,77,2121,24,11
Andreas,Christensen,0,0,79,2067,23,8
Charly,Musonda,0,1,6,35,0,0
Álvaro,Morata,11,6,122,2055,19,11
Fikayo,Tomori,0,0,0,0,0,0
Kyle,Scott,0,0,0,0,0,0
Jeremie,Boga,0,0,1,17,0,0
Davide,Zappacosta,1,1,58,1087,15,5
Ethan,Ampadu,0,0,1,10,1,0
Callum,Hudson-Odoi,0,0,2,27,1,0
Dujon,Sterling,0,0,0,0,0,0
Emerson,Palmieri dos Santos,0,1,14,278,4,1
Trevoh,Chalobah,0,0,0,0,0,0
Ruben,Loftus-Cheek,2,5,77,1871,30,6
Wayne,Hennessey,0,0,99,2430,41,7
Julian,Speroni,0,0,36,990,14,2
James,Tomkins,3,0,99,2386,32,9
Scott,Dann,1,0,32,1434,26,1
Joel,Ward,0,1,41,1613,25,4
Martin,Kelly,0,0,34,1193,21,4
Damien,Delaney,0,0,1,95,5,0
Pape,Souaré,0,0,1,8,0,0
Jeffrey,Schlupp,0,2,50,1742,30,3
Patrick,van Aanholt,5,1,95,2182,38,6
Jason,Puncheon,0,0,11,574,14,0
Wilfried,Zaha,9,7,136,2549,31,10
James,McArthur,5,2,101,2425,35,7
Chung-yong,Lee,0,0,8,131,3,0
Yohan,Cabaye,0,4,73,2374,36,8
Bakary,Sako,3,0,36,466,10,1
Andros,Townsend,2,9,121,3120,48,9
Luka,Milivojevic,10,2,144,3079,52,8
Connor,Wickham,0,0,0,0,0,0
Christian,Benteke,3,7,84,2234,36,6
Mamadou,Sakho,1,2,81,1597,23,6
Timothy,Fosu-Mensah,0,0,39,1592,29,2
Jairo,Riedewald,0,0,23,435,6,2
Jason,Lokilo,0,0,0,0,0,0
Olayinka Fredrick Oladotun,Ladapo,0,0,1,16,1,0
Sullay,Kaikai,0,0,1,13,0,0
Keshi,Anderson,0,0,0,0,0,0
Levi,Lumeka,0,0,1,25,0,0
Jordon,Mutch,0,0,0,0,0,0
Dion,Henry,0,0,0,0,0,0
