Fname,Lname,Goals Scored,Assists,Total Points,Minutes,Goals Conceded,Clean Sheets
Oliver,Burke,0,2,23,356,11,0
Grzegorz,Krychowiak,0,3,58,1634,30,4
Alex,Palmer,0,0,0,0,0,0
Max,Melbourne,0,0,0,0,0,0
Rayhaan,Tulloch,0,0,0,0,0,0
Nathan,Ferguson,0,0,0,0,0,0
Ali,Gabr,0,0,0,0,0,0
Kyle,Jameson,0,0,0,0,0,0
Marko,Arnautovic,11,7,144,2309,50,7
Adrián,San Miguel del Castillo,0,0,72,1710,29,6
Darren,Randolph,0,0,0,0,0,0
Jose,Fonte,0,2,34,688,11,3
James,Collins,1,0,36,1049,19,3
Winston,Reid,0,0,42,1452,27,5
Aaron,Cresswell,1,7,118,3069,60,10
Angelo,Ogbonna,1,0,77,2880,60,7
Sam,Byram,0,0,5,246,7,0
Arthur,Masuaku,0,3,68,1867,29,6
Pablo,Zabaleta,0,1,90,3289,62,10
Robert,Snodgrass,0,0,0,0,0,0
Mark,Noble,4,0,84,2400,45,7
Cheikhou,Kouyaté,2,3,86,2798,56,7
Pedro,Obiang,2,0,54,1562,29,5
Manuel,Lanzini,5,7,106,2039,44,6
Michail,Antonio,3,2,62,1350,23,7
Sofiane,Feghouli,0,0,0,0,0,0
Edimilson,Fernandes,0,2,29,840,20,2
Andy,Carroll,3,1,36,742,13,3
Diafra,Sakho,2,1,24,294,11,0
Ashley,Fletcher,0,0,0,0,0,0
Enner,Valencia,0,0,0,0,0,0
Joe,Hart,0,1,59,1710,39,4
Javier,Hernández Balcázar,8,2,93,1537,36,6
Declan,Rice,0,0,41,1421,29,3
Sead,Haksabanovic,0,0,0,0,0,0
Antonio,Martinez Lopez,0,0,0,0,0,0
Domingos,Quina,0,0,0,0,0,0
Ben,Johnson,0,0,0,0,0,0
Nathan,Trott,0,0,0,0,0,0
Moses,Makasi,0,0,0,0,0,0
Reece,Burke,0,0,0,0,0,0
Josh,Cullen,0,0,2,6,0,0
João Mário,Naval Costa Eduardo,2,1,46,1021,14,4
Reece,Oxford,0,0,1,4,0,0
Jordan,Hugill,0,0,3,22,0,0
Patrice,Evra,0,0,2,227,10,0
Marcus,Browne,0,0,0,0,0,0
Josh,Pask,0,0,0,0,0,0
Grady,Diangana,0,0,0,0,0,0
